"typeGroupID","resourceType","resourceGroup"
3056,"aluminum_agrinium","aluminum"
3061,"aluminum_chromium","aluminum"
3066,"aluminum_duralumin","aluminum"
3768,"aluminum_hoth","aluminum"
5160,"aluminum_jakku","aluminum"
4430,"aluminum_kaas","aluminum"
4566,"aluminum_kashyyyk","aluminum"
3071,"aluminum_linksteel","aluminum"
4863,"aluminum_lothal","aluminum"
4498,"aluminum_mandalore","aluminum"
3836,"aluminum_mustafar","aluminum"
3076,"aluminum_perovskitic","aluminum"
3081,"aluminum_phrik","aluminum"
3046,"aluminum_smelted","aluminum"
4133,"aluminum_taanab","aluminum"
3051,"aluminum_titanium","aluminum"
957,"bone_avian_corellia","bone"
962,"bone_avian_dantooine","bone"
967,"bone_avian_dathomir","bone"
972,"bone_avian_endor","bone"
977,"bone_avian_hoth","bone"
5277,"bone_avian_jakku","bone"
982,"bone_avian_kaas","bone"
4683,"bone_avian_kashyyyk","bone"
987,"bone_avian_lok","bone"
4980,"bone_avian_lothal","bone"
992,"bone_avian_mandalore","bone"
3953,"bone_avian_mustafar","bone"
997,"bone_avian_naboo","bone"
1002,"bone_avian_rori","bone"
4250,"bone_avian_taanab","bone"
1007,"bone_avian_talus","bone"
1012,"bone_avian_tatooine","bone"
1017,"bone_avian_yavin4","bone"
905,"bone_mammal_corellia","bone"
909,"bone_mammal_dantooine","bone"
913,"bone_mammal_dathomir","bone"
917,"bone_mammal_endor","bone"
921,"bone_mammal_hoth","bone"
5273,"bone_mammal_jakku","bone"
925,"bone_mammal_kaas","bone"
4679,"bone_mammal_kashyyyk","bone"
929,"bone_mammal_lok","bone"
4976,"bone_mammal_lothal","bone"
933,"bone_mammal_mandalore","bone"
3949,"bone_mammal_mustafar","bone"
937,"bone_mammal_naboo","bone"
941,"bone_mammal_rori","bone"
4246,"bone_mammal_taanab","bone"
945,"bone_mammal_talus","bone"
949,"bone_mammal_tatooine","bone"
953,"bone_mammal_yavin4","bone"
901,"ground_bones","bone"
958,"bone_avian_corellia","bone_avian"
963,"bone_avian_dantooine","bone_avian"
968,"bone_avian_dathomir","bone_avian"
973,"bone_avian_endor","bone_avian"
978,"bone_avian_hoth","bone_avian"
5278,"bone_avian_jakku","bone_avian"
983,"bone_avian_kaas","bone_avian"
4684,"bone_avian_kashyyyk","bone_avian"
988,"bone_avian_lok","bone_avian"
4981,"bone_avian_lothal","bone_avian"
993,"bone_avian_mandalore","bone_avian"
3954,"bone_avian_mustafar","bone_avian"
998,"bone_avian_naboo","bone_avian"
1003,"bone_avian_rori","bone_avian"
4251,"bone_avian_taanab","bone_avian"
1008,"bone_avian_talus","bone_avian"
1013,"bone_avian_tatooine","bone_avian"
1018,"bone_avian_yavin4","bone_avian"
1026,"bone_horn_corellia","bone_horn"
1030,"bone_horn_dantooine","bone_horn"
1034,"bone_horn_dathomir","bone_horn"
1038,"bone_horn_endor","bone_horn"
1022,"bone_horn_ground","bone_horn"
1042,"bone_horn_hoth","bone_horn"
5282,"bone_horn_jakku","bone_horn"
1046,"bone_horn_kaas","bone_horn"
4688,"bone_horn_kashyyyk","bone_horn"
1050,"bone_horn_lok","bone_horn"
4985,"bone_horn_lothal","bone_horn"
1054,"bone_horn_mandalore","bone_horn"
3958,"bone_horn_mustafar","bone_horn"
1058,"bone_horn_naboo","bone_horn"
1062,"bone_horn_rori","bone_horn"
4255,"bone_horn_taanab","bone_horn"
1066,"bone_horn_talus","bone_horn"
1070,"bone_horn_tatooine","bone_horn"
1074,"bone_horn_yavin4","bone_horn"
1346,"corn_domesticated_corellia","cereal"
1352,"corn_domesticated_dantooine","cereal"
1358,"corn_domesticated_dathomir","cereal"
1364,"corn_domesticated_endor","cereal"
1370,"corn_domesticated_hoth","cereal"
5306,"corn_domesticated_jakku","cereal"
1376,"corn_domesticated_kaas","cereal"
4712,"corn_domesticated_kashyyyk","cereal"
1382,"corn_domesticated_lok","cereal"
5009,"corn_domesticated_lothal","cereal"
1388,"corn_domesticated_mandalore","cereal"
3982,"corn_domesticated_mustafar","cereal"
1394,"corn_domesticated_naboo","cereal"
1400,"corn_domesticated_rori","cereal"
4279,"corn_domesticated_taanab","cereal"
1406,"corn_domesticated_talus","cereal"
1412,"corn_domesticated_tatooine","cereal"
1418,"corn_domesticated_yavin4","cereal"
1424,"corn_wild_corellia","cereal"
1430,"corn_wild_dantooine","cereal"
1436,"corn_wild_dathomir","cereal"
1442,"corn_wild_endor","cereal"
1448,"corn_wild_hoth","cereal"
5312,"corn_wild_jakku","cereal"
1454,"corn_wild_kaas","cereal"
4718,"corn_wild_kashyyyk","cereal"
1460,"corn_wild_lok","cereal"
5015,"corn_wild_lothal","cereal"
1466,"corn_wild_mandalore","cereal"
3988,"corn_wild_mustafar","cereal"
1472,"corn_wild_naboo","cereal"
1478,"corn_wild_rori","cereal"
4285,"corn_wild_taanab","cereal"
1484,"corn_wild_talus","cereal"
1490,"corn_wild_tatooine","cereal"
1496,"corn_wild_yavin4","cereal"
1658,"oats_domesticated_corellia","cereal"
1664,"oats_domesticated_dantooine","cereal"
1670,"oats_domesticated_dathomir","cereal"
1676,"oats_domesticated_endor","cereal"
1682,"oats_domesticated_hoth","cereal"
5330,"oats_domesticated_jakku","cereal"
1688,"oats_domesticated_kaas","cereal"
4736,"oats_domesticated_kashyyyk","cereal"
1694,"oats_domesticated_lok","cereal"
5033,"oats_domesticated_lothal","cereal"
1700,"oats_domesticated_mandalore","cereal"
4006,"oats_domesticated_mustafar","cereal"
1706,"oats_domesticated_naboo","cereal"
1712,"oats_domesticated_rori","cereal"
4303,"oats_domesticated_taanab","cereal"
1718,"oats_domesticated_talus","cereal"
1724,"oats_domesticated_tatooine","cereal"
1730,"oats_domesticated_yavin4","cereal"
1736,"oats_wild_corellia","cereal"
1742,"oats_wild_dantooine","cereal"
1748,"oats_wild_dathomir","cereal"
1754,"oats_wild_endor","cereal"
1760,"oats_wild_hoth","cereal"
5336,"oats_wild_jakku","cereal"
1766,"oats_wild_kaas","cereal"
4742,"oats_wild_kashyyyk","cereal"
1772,"oats_wild_lok","cereal"
5039,"oats_wild_lothal","cereal"
1778,"oats_wild_mandalore","cereal"
4012,"oats_wild_mustafar","cereal"
1784,"oats_wild_naboo","cereal"
1790,"oats_wild_rori","cereal"
4309,"oats_wild_taanab","cereal"
1796,"oats_wild_talus","cereal"
1802,"oats_wild_tatooine","cereal"
1808,"oats_wild_yavin4","cereal"
1342,"processed_cereal","cereal"
1502,"rice_domesticated_corellia","cereal"
1508,"rice_domesticated_dantooine","cereal"
1514,"rice_domesticated_dathomir","cereal"
1520,"rice_domesticated_endor","cereal"
1526,"rice_domesticated_hoth","cereal"
5318,"rice_domesticated_jakku","cereal"
1532,"rice_domesticated_kaas","cereal"
4724,"rice_domesticated_kashyyyk","cereal"
1538,"rice_domesticated_lok","cereal"
5021,"rice_domesticated_lothal","cereal"
1544,"rice_domesticated_mandalore","cereal"
3994,"rice_domesticated_mustafar","cereal"
1550,"rice_domesticated_naboo","cereal"
1556,"rice_domesticated_rori","cereal"
4291,"rice_domesticated_taanab","cereal"
1562,"rice_domesticated_talus","cereal"
1568,"rice_domesticated_tatooine","cereal"
1574,"rice_domesticated_yavin4","cereal"
1580,"rice_wild_corellia","cereal"
1586,"rice_wild_dantooine","cereal"
1592,"rice_wild_dathomir","cereal"
1598,"rice_wild_endor","cereal"
1604,"rice_wild_hoth","cereal"
5324,"rice_wild_jakku","cereal"
1610,"rice_wild_kaas","cereal"
4730,"rice_wild_kashyyyk","cereal"
1616,"rice_wild_lok","cereal"
5027,"rice_wild_lothal","cereal"
1622,"rice_wild_mandalore","cereal"
4000,"rice_wild_mustafar","cereal"
1628,"rice_wild_naboo","cereal"
1634,"rice_wild_rori","cereal"
4297,"rice_wild_taanab","cereal"
1640,"rice_wild_talus","cereal"
1646,"rice_wild_tatooine","cereal"
1652,"rice_wild_yavin4","cereal"
1814,"wheat_domesticated_corellia","cereal"
1820,"wheat_domesticated_dantooine","cereal"
1826,"wheat_domesticated_dathomir","cereal"
1832,"wheat_domesticated_endor","cereal"
1838,"wheat_domesticated_hoth","cereal"
5342,"wheat_domesticated_jakku","cereal"
1844,"wheat_domesticated_kaas","cereal"
4748,"wheat_domesticated_kashyyyk","cereal"
1850,"wheat_domesticated_lok","cereal"
5045,"wheat_domesticated_lothal","cereal"
1856,"wheat_domesticated_mandalore","cereal"
4018,"wheat_domesticated_mustafar","cereal"
1862,"wheat_domesticated_naboo","cereal"
1868,"wheat_domesticated_rori","cereal"
4315,"wheat_domesticated_taanab","cereal"
1874,"wheat_domesticated_talus","cereal"
1880,"wheat_domesticated_tatooine","cereal"
1886,"wheat_domesticated_yavin4","cereal"
1892,"wheat_wild_corellia","cereal"
1898,"wheat_wild_dantooine","cereal"
1904,"wheat_wild_dathomir","cereal"
1910,"wheat_wild_endor","cereal"
1916,"wheat_wild_hoth","cereal"
5348,"wheat_wild_jakku","cereal"
1922,"wheat_wild_kaas","cereal"
4754,"wheat_wild_kashyyyk","cereal"
1928,"wheat_wild_lok","cereal"
5051,"wheat_wild_lothal","cereal"
1934,"wheat_wild_mandalore","cereal"
4024,"wheat_wild_mustafar","cereal"
1940,"wheat_wild_naboo","cereal"
1946,"wheat_wild_rori","cereal"
4321,"wheat_wild_taanab","cereal"
1952,"wheat_wild_talus","cereal"
1958,"wheat_wild_tatooine","cereal"
1964,"wheat_wild_yavin4","cereal"
2736,"chemical_compound","chemical"
2775,"fiberplast_corellia","chemical"
2778,"fiberplast_dantooine","chemical"
2781,"fiberplast_dathomir","chemical"
2784,"fiberplast_endor","chemical"
2811,"fiberplast_gravitonic","chemical"
